question,type,database
Which 3 movies have the most diverse cast in terms of gender?,Pathfinding Queries,neoflix
What are the top 5 movies that premiered in the last quarter of any year?,Pathfinding Queries,neoflix
Find the first 3 movies that feature both English and Spanish languages.,Pathfinding Queries,neoflix
Which 5 movies were produced by companies with an ID over 1000?,Pathfinding Queries,neoflix
List the top 3 oldest movies in the database.,Pathfinding Queries,neoflix
What are the top 5 movies with a tagline containing the word 'adventure'?,Pathfinding Queries,neoflix
Which 3 movies have the shortest runtime?,Pathfinding Queries,neoflix
Show the first 5 movies that were originally titled differently from their English title.,Pathfinding Queries,neoflix
List the top 3 movies that have a homepage listed.,Pathfinding Queries,neoflix
What are the first 5 movies that have no revenue recorded?,Pathfinding Queries,neoflix
Which 5 movies have the most poster path variations?,Pathfinding Queries,neoflix
Show the top 3 movies that have been reviewed most recently by any user.,Pathfinding Queries,neoflix
List the first 3 videos with the highest average vote.,Pathfinding Queries,neoflix
Which 5 videos have a runtime under 60 minutes?,Pathfinding Queries,neoflix
Show the first 3 adult films that are spoken in Italian.,Pathfinding Queries,neoflix
List the top 5 adult films with a tagline containing 'murder'.,Pathfinding Queries,neoflix
What are the first 3 packages that provide access to the genre 'Animation'?,Pathfinding Queries,neoflix
Which 5 subscriptions are linked to the 'Ultimate' package?,Pathfinding Queries,neoflix
List the top 3 genres most frequently associated with videos.,Pathfinding Queries,neoflix
What are the first 5 countries where most adult films are produced?,Pathfinding Queries,neoflix
Which 3 languages are most common in adult films?,Pathfinding Queries,neoflix
Show the top 5 most popular adult films based on their popularity score.,Pathfinding Queries,neoflix
List the first 3 adult films with the largest budget.,Pathfinding Queries,neoflix
What are the top 5 videos that have been rated by the most users?,Pathfinding Queries,neoflix
Which 3 videos have the most keywords associated with them?,Pathfinding Queries,neoflix
Show the first 5 videos produced by the company with ID 10.,Pathfinding Queries,neoflix
List the top 3 collections with the most movies included.,Pathfinding Queries,neoflix
What are the first 5 movies with a release date on a weekend?,Pathfinding Queries,neoflix
Which 3 production companies have produced the most movies?,Pathfinding Queries,neoflix
Show the top 5 movies with the lowest average vote but highest revenue.,Pathfinding Queries,neoflix
List the first 3 people who have both acted in and produced a movie.,Pathfinding Queries,neoflix
What are the top 5 languages spoken in movies that have a budget over $50 million?,Pathfinding Queries,neoflix
Which 3 countries have produced the most movies in the genre 'Drama'?,Pathfinding Queries,neoflix
Show the first 5 movies that have a character named 'Charlie Wilson' in their cast.,Pathfinding Queries,neoflix
List the top 3 people with the most crew roles in movies.,Pathfinding Queries,neoflix
What are the first 5 movies that have a genre change from their original genre in a collection?,Pathfinding Queries,neoflix
Which 3 movies have changed their status from 'In Production' to 'Released'?,Pathfinding Queries,neoflix
Show the top 5 movies with a poster path ending in '.jpg'.,Pathfinding Queries,neoflix
List the first 3 movies with a backdrop path that includes '/9FBwqcd9IRruEDUrTdcaafOMKUq.jpg'.,Pathfinding Queries,neoflix
What are the top 5 movies that have undergone a title change after release?,Pathfinding Queries,neoflix
Which 3 movies have the highest discrepancy between budget and revenue?,Pathfinding Queries,neoflix
Show the first 5 movies where the original language is not English but have English as a spoken language.,Pathfinding Queries,neoflix
List the top 3 highest grossing movies in the genre 'Action'.,Pathfinding Queries,neoflix
What are the first 5 movies that have a character played by a person with gender 1?,Pathfinding Queries,neoflix
Which 3 movies have the most extensive cast list?,Pathfinding Queries,neoflix
Show the top 5 oldest movies in the collection with the highest revenue.,Pathfinding Queries,neoflix
List the first 3 movies that have a link to their homepage that includes 'disney'.,Pathfinding Queries,neoflix
What are the top 5 movies with the most significant number of languages spoken?,Pathfinding Queries,neoflix
Which 3 movies have been rated exactly 5 times?,Pathfinding Queries,neoflix
Show the first 5 movies where the production company's name includes 'Studios'.,Pathfinding Queries,neoflix
List the top 3 videos that have a revenue of zero.,Pathfinding Queries,neoflix
What are the first 5 adult films that have a runtime over 100 minutes?,Pathfinding Queries,neoflix
Which 3 adult films have been released during a leap year?,Pathfinding Queries,neoflix
Show the top 5 adult films with a poster path containing '/tzVK7nTnzUiVeFSZhOAIHmrgXUS.jpg'.,Pathfinding Queries,neoflix
List the first 3 adult films with a tagline mentioning 'love'.,Pathfinding Queries,neoflix
What are the top 5 adult films with the highest number of votes?,Pathfinding Queries,neoflix
Which 3 adult films have the lowest average votes but were produced in 'United States of America'?,Pathfinding Queries,neoflix
Show the first 5 adult films based on their IMDB ID starting with 'tt007'.,Pathfinding Queries,neoflix
"List the top 3 adult films with a budget under $10,000.",Pathfinding Queries,neoflix
What are the top 5 movies sorted by revenue?,Complex Aggregation Queries,neoflix
List the first 3 movies released after 2010.,Complex Aggregation Queries,neoflix
Which 3 movies have the highest average vote?,Complex Aggregation Queries,neoflix
Name the top 5 oldest movies in the database.,Complex Aggregation Queries,neoflix
What are the first 3 highest budget movies that were released?,Complex Aggregation Queries,neoflix
List 5 movies that have a runtime longer than 120 minutes.,Complex Aggregation Queries,neoflix
Which 3 movies have the most keywords associated with them?,Complex Aggregation Queries,neoflix
Name the top 5 movies by vote count.,Complex Aggregation Queries,neoflix
What are the first 3 movies with the most characters in their overview?,Complex Aggregation Queries,neoflix
List the top 5 movies that made the least revenue.,Complex Aggregation Queries,neoflix
Which 3 languages are spoken in the most number of movies?,Complex Aggregation Queries,neoflix
Name the top 5 production companies by the number of movies produced.,Complex Aggregation Queries,neoflix
What are the first 3 genres that have the most movies?,Complex Aggregation Queries,neoflix
List 5 countries where the most movies were produced.,Complex Aggregation Queries,neoflix
Which 3 collections contain the most movies?,Complex Aggregation Queries,neoflix
Name the top 5 movies with the longest runtime.,Complex Aggregation Queries,neoflix
What are the first 3 movies with the shortest runtime?,Complex Aggregation Queries,neoflix
List the top 5 movies based on popularity.,Complex Aggregation Queries,neoflix
Which 3 movies have the least number of votes?,Complex Aggregation Queries,neoflix
Name the top 5 movies with the most budget to revenue ratio.,Complex Aggregation Queries,neoflix
What are the first 3 genres with the least number of associated movies?,Complex Aggregation Queries,neoflix
List the top 5 languages based on the number of movies originally in that language.,Complex Aggregation Queries,neoflix
Which 3 production companies have the smallest number of movies?,Complex Aggregation Queries,neoflix
Name the top 5 movies that are part of a collection.,Complex Aggregation Queries,neoflix
What are the first 3 movies that are not part of any collection?,Complex Aggregation Queries,neoflix
List 5 movies that have a poster path containing '/rh'.,Complex Aggregation Queries,neoflix
Which 3 movies have the most revenue among those released in the 1990s?,Complex Aggregation Queries,neoflix
Name the top 5 movies with a tagline containing the word 'love'.,Complex Aggregation Queries,neoflix
What are the first 3 movies with a release date on a Monday?,Complex Aggregation Queries,neoflix
List the top 5 movies that have a homepage URL.,Complex Aggregation Queries,neoflix
Which 3 movies have the highest popularity but the least revenue?,Complex Aggregation Queries,neoflix
Name the top 5 genres by the average votes of the movies in them.,Complex Aggregation Queries,neoflix
What are the first 3 languages spoken in movies with a budget over $50 million?,Complex Aggregation Queries,neoflix
List 5 movies where the original and spoken languages are different.,Complex Aggregation Queries,neoflix
Which 3 countries have the least number of movies produced in them?,Complex Aggregation Queries,neoflix
Name the top 5 movies with 'Animated' as a keyword.,Complex Aggregation Queries,neoflix
What are the first 3 adult videos by revenue?,Complex Aggregation Queries,neoflix
List the top 5 adult videos by vote count.,Complex Aggregation Queries,neoflix
Which 3 adult videos have the longest runtime?,Complex Aggregation Queries,neoflix
Name the top 5 adult videos with the highest average vote.,Complex Aggregation Queries,neoflix
"What are the first 3 adult videos with a budget over $500,000?",Complex Aggregation Queries,neoflix
List the 5 oldest adult videos based on release date.,Complex Aggregation Queries,neoflix
Which 3 adult videos have the most keywords associated with them?,Complex Aggregation Queries,neoflix
Name the top 5 adult videos that were produced in Italy.,Complex Aggregation Queries,neoflix
What are the first 3 adult videos not produced in any country listed?,Complex Aggregation Queries,neoflix
List 5 adult videos with a tagline containing the word 'sex'.,Complex Aggregation Queries,neoflix
Which 3 adult videos have the most provocative poster paths?,Complex Aggregation Queries,neoflix
Name the top 5 adult videos with the least revenue.,Complex Aggregation Queries,neoflix
What are the first 3 adult videos with exactly one keyword?,Complex Aggregation Queries,neoflix
List the top 5 adult videos based on popularity.,Complex Aggregation Queries,neoflix
Which 3 packages provide access to the most genres?,Complex Aggregation Queries,neoflix
Name the top 5 subscriptions by the duration of the package they are for.,Complex Aggregation Queries,neoflix
What are the first 3 packages with the highest price?,Complex Aggregation Queries,neoflix
List the top 5 packages by the number of subscriptions associated with them.,Complex Aggregation Queries,neoflix
Which 3 genres are provided access to by the 'Gold' package?,Complex Aggregation Queries,neoflix
Name the top 5 packages that provide access to the 'Animation' genre.,Complex Aggregation Queries,neoflix
What are the first 3 movies with the most associated cast members?,Complex Aggregation Queries,neoflix
List the top 5 movies with the most crew members in the 'Production' department.,Complex Aggregation Queries,neoflix
Which 3 movies have the highest number of associated languages?,Complex Aggregation Queries,neoflix
Name the top 5 countries based on the number of languages spoken in their produced movies.,Complex Aggregation Queries,neoflix
What are the first 3 movies with the highest number of associated production companies?,Complex Aggregation Queries,neoflix
List the top 5 movies that are rated by the most users.,Complex Aggregation Queries,neoflix
Which 3 movies have the most associated genres?,Complex Aggregation Queries,neoflix
Name the top 5 movies with the most associated collections.,Complex Aggregation Queries,neoflix
What are the first 3 videos with the most associated keywords?,Complex Aggregation Queries,neoflix
List the top 5 videos by the number of countries they were produced in.,Complex Aggregation Queries,neoflix
Which 3 videos have the highest number of associated production companies?,Complex Aggregation Queries,neoflix
Name the top 5 videos with the most associated genres.,Complex Aggregation Queries,neoflix
What are the first 3 videos with the highest popularity?,Complex Aggregation Queries,neoflix
List the top 5 videos with the least revenue.,Complex Aggregation Queries,neoflix
Which 3 videos have the most associated cast members?,Complex Aggregation Queries,neoflix
Name the top 5 videos with the most crew members in the 'Production' department.,Complex Aggregation Queries,neoflix
What are the first 3 videos with the highest number of associated languages?,Complex Aggregation Queries,neoflix
List the top 5 videos by the number of countries they were produced in.,Complex Aggregation Queries,neoflix
What are the top 5 movies with the highest average vote?,Verbose query,neoflix
List the first 3 movies produced in the United States.,Verbose query,neoflix
Which 3 movies have a runtime longer than 120 minutes?,Verbose query,neoflix
Identify the top 5 most popular videos as per the popularity metric.,Verbose query,neoflix
What are the first 3 movies directed by a person named 'John Doe'?,Verbose query,neoflix
Name the top 5 movies that were released after 2010 and have a budget over 100 million USD.,Verbose query,neoflix
Which 3 movies have more than 5000 vote counts?,Verbose query,neoflix
Can you list the first 3 genres associated with the movie titled 'Toy Story'?,Verbose query,neoflix
What are the top 5 production companies that have produced the most number of movies?,Verbose query,neoflix
List the first 3 languages spoken in the movie titled 'Jumanji'.,Verbose query,neoflix
Which 3 countries have produced the most number of videos?,Verbose query,neoflix
List the top 5 keywords associated with the video titled 'Jonah: A VeggieTales Movie'.,Verbose query,neoflix
What are the first 3 collections that include movies with a poster path containing '/rhIRbceoE9lR4veEXuwCC2wARtG.jpg'?,Verbose query,neoflix
Name the top 5 persons who have played the character 'Woody' in any movie.,Verbose query,neoflix
Which 3 users have rated the most number of movies?,Verbose query,neoflix
List the top 5 genres that have been accessed by the package named 'Platinum'.,Verbose query,neoflix
What are the first 3 movies that have a revenue greater than 100 million USD and are in the genre 'Action'?,Verbose query,neoflix
Can you list the top 5 adult films with the highest popularity?,Verbose query,neoflix
Which 3 movies have Tom Hanks as a cast member and have been released after 1995?,Verbose query,neoflix
List the first 3 movies in the 'Toy Story Collection'.,Verbose query,neoflix
Name the top 5 countries where the original language of the movie is Spanish.,Verbose query,neoflix
What are the first 3 movies with the status 'In Production'?,Verbose query,neoflix
List the top 5 movies that have been rated 10 by any user.,Verbose query,neoflix
Which 3 genres do the most movies belong to?,Verbose query,neoflix
List the first 3 movies that have the keyword 'space' associated with them.,Verbose query,neoflix
What are the top 5 languages spoken in the adult films?,Verbose query,neoflix
Name the top 5 movies with the longest runtime.,Verbose query,neoflix
Which 3 movies have the lowest average vote and more than 100 vote counts?,Verbose query,neoflix
List the top 5 users who have rated videos the most.,Verbose query,neoflix
What are the first 3 production companies that produced videos with zero revenue?,Verbose query,neoflix
Can you list the top 5 movies that are part of more than one collection?,Verbose query,neoflix
Which 3 movies have the highest revenue and are part of the 'Toy Story Collection'?,Verbose query,neoflix
List the first 3 videos that have a budget less than 5000 USD.,Verbose query,neoflix
Name the top 5 most popular movies released before 2000.,Verbose query,neoflix
What are the first 3 movies that have a tagline containing the word 'adventure'?,Verbose query,neoflix
List the top 5 countries that have produced the most movies in the 'Comedy' genre.,Verbose query,neoflix
Which 3 adult films have the tagline 'Humiliation. Rape. Murder. You know the drill.'?,Verbose query,neoflix
List the first 3 movies that have been produced by 'Pixar Animation Studios' and have a budget over 50 million USD.,Verbose query,neoflix
Name the top 5 languages in which the most movies have been originally made.,Verbose query,neoflix
What are the first 3 videos that have a runtime shorter than 30 minutes?,Verbose query,neoflix
"List the top 5 highest grossing movies that have been released on or after January 1, 2000.",Verbose query,neoflix
Which 3 movies have an average vote less than 5 and have been produced in the country with ID 'US'?,Verbose query,neoflix
List the first 3 persons who have directed a movie with a budget over 150 million USD.,Verbose query,neoflix
Name the top 5 most frequently used keywords in videos.,Verbose query,neoflix
What are the first 3 genres associated with the video titled 'Electrical Girl'?,Verbose query,neoflix
List the top 5 highest-rated movies by users.,Verbose query,neoflix
Which 3 movies have been produced by a company named 'Warner Bros' and have a revenue over 200 million USD?,Verbose query,neoflix
List the first 3 languages used in movies with an original title 'Toy Story'.,Verbose query,neoflix
Name the top 5 movies that have been produced in more than 3 countries.,Verbose query,neoflix
What are the first 3 adult films that have a runtime longer than 90 minutes?,Verbose query,neoflix
List the top 5 movies with a poster path ending in '.jpg'.,Verbose query,neoflix
Which 3 persons have the most crew credits in movies released after 2010?,Verbose query,neoflix
List the first 3 genres where the most movies have been produced.,Verbose query,neoflix
Name the top 5 movies where the main language spoken is not the original language.,Verbose query,neoflix
What are the first 3 movies with the genre 'Drama' that have a budget less than 10 million USD?,Verbose query,neoflix
List the top 5 movies where the revenue exceeded the budget by over 100 million USD.,Verbose query,neoflix
Which 3 movies have a production company named 'Lucasfilm' associated with them?,Verbose query,neoflix
List the first 3 persons who have worked as producers in more than 5 movies.,Verbose query,neoflix
Name the top 5 most popular movies according to the vote count.,Verbose query,neoflix
What are the first 3 movies that have a homepage URL containing 'disney'?,Verbose query,neoflix
List the top 5 movies that have been produced by 'Universal Pictures'.,Verbose query,neoflix
Which 3 movies have the most languages spoken in them?,Verbose query,neoflix
List the first 3 adult films that were released in the year 2000 or later.,Verbose query,neoflix
Name the top 5 movies that have an IMDb ID starting with 'tt'.,Verbose query,neoflix
What are the first 3 movies that have been rated by the user with ID '1'?,Verbose query,neoflix
"List the top 5 movies with a release date on or before December 31, 1990.",Verbose query,neoflix
Which 3 movies have the most extensive cast list as determined by the number of cast credits?,Verbose query,neoflix
List the top 5 videos that have a tagline including the word 'comedy'.,Verbose query,neoflix
Name the top 5 production companies that have produced the highest grossing movies.,Verbose query,neoflix
What are the first 3 movies that have a budget exactly 50 million USD?,Verbose query,neoflix
List the top 5 countries where the most adult films have been produced.,Verbose query,neoflix
Which 3 movies have an average vote greater than 8 and have been produced in 'France'?,Verbose query,neoflix
List the top 5 movies that have a runtime exactly 90 minutes.,Verbose query,neoflix
Name the top 5 videos that were released in the year 2010 or later.,Verbose query,neoflix
What are the first 3 movies that have a poster path containing '/vzmL6fP7aPKNKPRTFnZmiUfciyV.jpg'?,Verbose query,neoflix
List the top 5 movies that were part of the 'Toy Story Collection' and have a runtime over 80 minutes.,Verbose query,neoflix
Which 3 movies have been produced by 'Pixar Animation Studios' and have a runtime under 100 minutes?,Verbose query,neoflix
List the top 5 highest budget movies in the 'Animation' genre.,Verbose query,neoflix
Name the top 5 movies that have the keyword 'jealousy' associated with them.,Verbose query,neoflix
"What are the first 3 adult films with a budget over 500,000 USD?",Verbose query,neoflix
List the top 5 movies with the most extensive production crew.,Verbose query,neoflix
Which 3 videos have a homepage URL containing 'youtube'?,Verbose query,neoflix
List the top 5 languages in which the most adult films have been originally made.,Verbose query,neoflix
Name the top 5 users who have given the lowest average ratings to movies.,Verbose query,neoflix
What are the first 3 movies that have been rated 5 or higher by more than one user?,Verbose query,neoflix
List the top 5 movies released in the 1990s.,Verbose query,neoflix
Which 3 movies have a vote count over 2000 and a budget under 50 million USD?,Verbose query,neoflix
List the first 3 movies that have a revenue over 500 million USD.,Verbose query,neoflix
Name the top 5 most popular movies in the 'Science Fiction' genre.,Verbose query,neoflix
What are the names of the top 3 routers in Data Center DC1?,Simple Retrieval Queries,network
List the first 3 zones by IP address in ascending order.,Simple Retrieval Queries,network
Which interfaces are connected to the router named 'DC1-R-1'?,Simple Retrieval Queries,network
Identify the top 5 machines held in racks within zone 1.,Simple Retrieval Queries,network
What are the names of applications running on machines in rack 'DC1-RCK-1-1'?,Simple Retrieval Queries,network
List all software versions associated with the software named 'RHEL'.,Simple Retrieval Queries,network
Which ports are exposed by the interface with IP '10.0.0.254'?,Simple Retrieval Queries,network
Find the first 5 processes running on any machine in Data Center DC1.,Simple Retrieval Queries,network
What are the top 3 largest types by disk size available in the system?,Simple Retrieval Queries,network
List all versions that software 'RHEL' depends on.,Simple Retrieval Queries,network
Which applications listen on port 80?,Simple Retrieval Queries,network
Display the top 3 services by PID running in Data Center DC1.,Simple Retrieval Queries,network
Can you list the first 4 dependencies of the 'webserver' application?,Simple Retrieval Queries,network
What are the names of the egress nodes in Data Center DC1?,Simple Retrieval Queries,network
Which racks are contained within Data Center DC1 and are in zone 2?,Simple Retrieval Queries,network
Find the first 3 networks routing through interface with IP '10.1.0.254'.,Simple Retrieval Queries,network
Identify the first 5 types of machines in zone 3 by rack.,Simple Retrieval Queries,network
Which software depends on version '7.1'?,Simple Retrieval Queries,network
List the first 3 applications that started after timestamp 1606165629748.,Simple Retrieval Queries,network
What are the top 3 processes that listen on port 80?,Simple Retrieval Queries,network
Find all machines running OS named 'RHEL' in the first 5 racks of zone 1.,Simple Retrieval Queries,network
Which services are instances of software named 'RHEL'?,Simple Retrieval Queries,network
List the first 3 previous versions for version named '7.1'.,Simple Retrieval Queries,network
What are the names of the switches located in rack 'DC1-RCK-1-1'?,Simple Retrieval Queries,network
Which racks in zone 4 hold more than 5 machines?,Simple Retrieval Queries,network
Identify the top 5 applications by PID that depend on the service 'java'.,Simple Retrieval Queries,network
What are the IP addresses of networks in zone 2?,Simple Retrieval Queries,network
List the first 3 racks by name that contain switches.,Simple Retrieval Queries,network
Which applications have 'cms' as a dependency?,Simple Retrieval Queries,network
Find the top 5 processes by PID that are instances of application 'webapp'.,Simple Retrieval Queries,network
What ports are listened to by the service named 'java'?,Simple Retrieval Queries,network
Which versions of software are depended upon by more than one other software?,Simple Retrieval Queries,network
List all machines and their types in rack 'DC1-RCK-1-1'.,Simple Retrieval Queries,network
What are the top 3 software names that depend on 'webserver'?,Simple Retrieval Queries,network
Identify all applications running on machines that are of type 'xl'.,Simple Retrieval Queries,network
Which services started after timestamp 1605733619064 and before 1606597376483?,Simple Retrieval Queries,network
What are the names and IPs of all interfaces connected to network '10.2'?,Simple Retrieval Queries,network
List the first 3 applications that are dependencies of processes named '7.1'.,Simple Retrieval Queries,network
Which ports does the application 'crm' listen to?,Simple Retrieval Queries,network
Find the top 3 largest services by RAM usage in Data Center DC1.,Simple Retrieval Queries,network
What are the dependencies of the process named '8966'?,Simple Retrieval Queries,network
Which racks contain machines running application named 'logstash'?,Simple Retrieval Queries,network
Identify the top 5 types of machines by CPU power available in the system.,Simple Retrieval Queries,network
What are the IP addresses of interfaces that are connected to zone 3's network?,Simple Retrieval Queries,network
List the first 3 ports exposed by any service running on OS 'RHEL'.,Simple Retrieval Queries,network
Which processes are instances of version '7.1'?,Simple Retrieval Queries,network
Find the top 3 types of machines by RAM in racks located in zone 4.,Simple Retrieval Queries,network
Which applications are instances of software named 'webapp'?,Simple Retrieval Queries,network
List the first 3 interfaces that connect to routers in zone 1.,Simple Retrieval Queries,network
What are the names of all egress nodes routing through interface with IP '10.0.0.254'?,Simple Retrieval Queries,network
Identify all previous versions of the version named '7.1' that are used by a software.,Simple Retrieval Queries,network
List all processes that depend on the service named 'java'.,Simple Retrieval Queries,network
Which racks in zone 1 contain switches with IP starting with '10.1'?,Simple Retrieval Queries,network
Find the top 5 machines by name running the OS 'RHEL' in rack 'DC1-RCK-1-1'.,Simple Retrieval Queries,network
What are the types of machines that are running applications named 'cms'?,Simple Retrieval Queries,network
Which versions of software named 'RHEL' are used by processes started after 1605733619064?,Simple Retrieval Queries,network
List the first 3 services that are instances of the application named 'webserver'.,Simple Retrieval Queries,network
What are the dependencies of the application named 'logstash'?,Simple Retrieval Queries,network
Identify the first 5 ports listened to by the process named '8966'.,Simple Retrieval Queries,network
Which applications and their start times are running on machines in zone 2?,Simple Retrieval Queries,network
List the top 3 types of machines based on disk size in racks located in zone 3.,Simple Retrieval Queries,network
What are the names of all routers routing through interface with IP '10.1.0.254'?,Simple Retrieval Queries,network
Find the top 5 switches by rack number in zone 4.,Simple Retrieval Queries,network
Which machines are running services that listen on port 80?,Simple Retrieval Queries,network
What are the names and IPs of interfaces that connect to network '10.3'?,Simple Retrieval Queries,network
List all versions that are previous to version named '7.1' and their dependencies.,Simple Retrieval Queries,network
Which processes are instances of application named 'crm'?,Simple Retrieval Queries,network
Find the top 3 racks by zone that contain the most machines.,Simple Retrieval Queries,network
What are the names of all switches in racks within zone 1?,Simple Retrieval Queries,network
Which services started between timestamps 1605733619064 and 1606597376483 and listen to port 80?,Simple Retrieval Queries,network
Identify the first 5 applications by version that depend on the software 'RHEL'.,Simple Retrieval Queries,network
List the first 3 processes that are instances of software named 'webapp'.,Simple Retrieval Queries,network
Which ports does the OS 'RHEL' listen to through its services?,Simple Retrieval Queries,network
Find the top 5 types of machines by CPU in racks located in zone 2.,Simple Retrieval Queries,network
What are the dependencies of the service named 'java' that started after 1605733619064?,Simple Retrieval Queries,network
Which applications are instances of service named 'java'?,Simple Retrieval Queries,network
List the top 3 networks by size that route through interfaces in zone 4.,Simple Retrieval Queries,network
What are the names of all machines in rack 'DC1-RCK-1-1' and their respective applications?,Simple Retrieval Queries,network
Identify all previous versions of the software named 'RHEL' that are depended upon by other software.,Simple Retrieval Queries,network
Find the top 3 types of machines by RAM that are held in racks in zone 1.,Simple Retrieval Queries,network
Which processes are instances of version '7.1' and listen to port 80?,Simple Retrieval Queries,network
List the first 3 services that depend on the process named '8966'.,Simple Retrieval Queries,network
What are the names and IPs of interfaces that connect to zone 1's network?,Simple Retrieval Queries,network
Which applications listen to ports managed by software 'RHEL'?,Simple Retrieval Queries,network
Identify the first 5 machines by name that run the application named 'webserver'.,Simple Retrieval Queries,network
What are the IP addresses of all interfaces in routers located in zone 2?,Simple Retrieval Queries,network
List all types of machines in rack 'DC1-RCK-1-1' and their disk sizes.,Simple Retrieval Queries,network
Which versions of software are instances of other applications?,Simple Retrieval Queries,network
Find the top 5 racks by zone that contain the most types of machines.,Simple Retrieval Queries,network
What are the dependencies of the software named 'RHEL' that are versions?,Simple Retrieval Queries,network
Identify all applications that are instances of process named '8966'.,Simple Retrieval Queries,network
List the top 3 networks by IP that are routed through interfaces connected to routers in zone 3.,Simple Retrieval Queries,network
Which machines are running processes that depend on the service named 'java'?,Simple Retrieval Queries,network
What are the names and IPs of all switches in zone 4?,Simple Retrieval Queries,network
Find the top 5 applications by start time running on machines in rack 'DC1-RCK-1-1'.,Simple Retrieval Queries,network
Which ports are listened to by all processes running on OS 'RHEL'?,Simple Retrieval Queries,network
List the first 3 previous versions of the version named '7.1' and their software dependencies.,Simple Retrieval Queries,network
List the top 3 routers located in zone 1.,Complex Retrieval Queries,network
Which DataCenter contains the router 'DC1-R-1'?,Complex Retrieval Queries,network
Find all interfaces connected to router 'DC1-R-2'.,Complex Retrieval Queries,network
How many machines are held in the rack 'DC1-RCK-1-1'?,Complex Retrieval Queries,network
Name the top 5 software dependencies for the software 'RHEL'.,Complex Retrieval Queries,network
What are the top 3 recent applications run on machine 'DC1-RCK-1-1-M-1'?,Complex Retrieval Queries,network
Identify the first 3 networks routing through interface with IP '10.0.0.254'.,Complex Retrieval Queries,network
List all the types of machines available in rack 'DC1-RCK-1-1'.,Complex Retrieval Queries,network
Which type of machine has the maximum CPU capacity?,Complex Retrieval Queries,network
Find the top 5 egress routes from DataCenter 'DC1'.,Complex Retrieval Queries,network
What are the top 3 services running on machines in rack 'DC1-RCK-1-1'?,Complex Retrieval Queries,network
List the first 3 versions of software 'RHEL' installed on any machine.,Complex Retrieval Queries,network
What are the top 3 applications listening on port 80?,Complex Retrieval Queries,network
How many versions of the software 'RHEL' exist?,Complex Retrieval Queries,network
Which DataCenter has the egress named 'DC1-RE'?,Complex Retrieval Queries,network
Display the first 5 processes running on machine 'DC1-RCK-1-1-M-1' with PID greater than 5000.,Complex Retrieval Queries,network
Identify the first 3 machines running the application 'webserver'.,Complex Retrieval Queries,network
Which switches are located in rack 'DC1-RCK-1-1'?,Complex Retrieval Queries,network
List all ports exposed by the interface with IP '10.0.0.254'.,Complex Retrieval Queries,network
What are the first 3 zones with size 16 and IP starting with '10.2'?,Complex Retrieval Queries,network
Display the top 3 services that started after timestamp 1606165629748.,Complex Retrieval Queries,network
What are the first 5 IP addresses of interfaces connected to network '10.3'?,Complex Retrieval Queries,network
List the first 5 dependencies of the application 'webapp'.,Complex Retrieval Queries,network
Identify the top 3 racks in zone 4.,Complex Retrieval Queries,network
What are the top 3 software versions that the software 'RHEL' depends on?,Complex Retrieval Queries,network
List the first 5 processes that depend on the service 'java'.,Complex Retrieval Queries,network
How many switches are connected to interfaces in zone 2?,Complex Retrieval Queries,network
What are the first 5 applications running on OS 'RHEL'?,Complex Retrieval Queries,network
List the first 3 services listening on port 80.,Complex Retrieval Queries,network
What are the first 5 previous versions of version '7.1'?,Complex Retrieval Queries,network
Identify the first 3 machines that are of type 'xl'.,Complex Retrieval Queries,network
How many interfaces are connected to router 'DC1-R-3'?,Complex Retrieval Queries,network
List the first 5 applications that depend on the process '8966'.,Complex Retrieval Queries,network
What are the first 5 services that started before timestamp 1606597376483 and are running on a machine in zone 3?,Complex Retrieval Queries,network
Identify the first 3 applications with a PID less than 2000.,Complex Retrieval Queries,network
What are the first 3 types of machines available in zone 3?,Complex Retrieval Queries,network
List all the software dependencies for the application 'crm'.,Complex Retrieval Queries,network
How many machines run the service 'java' in the DataCenter 'DC1'?,Complex Retrieval Queries,network
What are the first 3 versions of the OS running on machine 'DC1-RCK-1-1-M-1'?,Complex Retrieval Queries,network
Which applications are listening on ports higher than 1024?,Complex Retrieval Queries,network
List the first 3 processes that have a PID greater than 5000 and are running on a machine in zone 1.,Complex Retrieval Queries,network
Identify the first 5 racks that hold machines of type 'm'.,Complex Retrieval Queries,network
What are the first 3 services running on the OS 'RHEL'?,Complex Retrieval Queries,network
List the first 5 machines connected to the network with IP '10.2'.,Complex Retrieval Queries,network
Which applications have dependencies on the service 'java'?,Complex Retrieval Queries,network
How many different types of switches are held in rack 'DC1-RCK-1-1'?,Complex Retrieval Queries,network
Identify the first 3 networks with a zone of 4 that route through any interface.,Complex Retrieval Queries,network
List the first 5 applications that were started after timestamp 1606165629748.,Complex Retrieval Queries,network
Which routers route through interface with IP '10.1.0.254'?,Complex Retrieval Queries,network
What are the first 3 types of machines located in DataCenter 'DC1'?,Complex Retrieval Queries,network
List all machines that run applications dependent on 'crm'.,Complex Retrieval Queries,network
How many applications are running on machines in zone 2?,Complex Retrieval Queries,network
What are the first 5 egress routes from routers in zone 4?,Complex Retrieval Queries,network
Identify the first 3 applications run by process '8966'.,Complex Retrieval Queries,network
List the first 5 machines that have a type with CPU greater than 16.,Complex Retrieval Queries,network
Which machines are running the version '7.1' of any software?,Complex Retrieval Queries,network
List the first 3 processes that depend on the application 'webapp'.,Complex Retrieval Queries,network
